County,Area[5]
Accomack County,"455 sq mi(1,178 km2)"
Albemarle County,"723 sq mi(1,873 km2)"
Alleghany County,"446 sq mi(1,155 km2)"
Amelia County,357 sq mi(925 km2)
Amherst County,"475 sq mi(1,230 km2)"
Appomattox County,334 sq mi(865 km2)
Arlington County,26 sq mi(67 km2)
Augusta County,"971 sq mi(2,515 km2)"
Bath County,"532 sq mi(1,378 km2)"
Bedford County,"755 sq mi(1,955 km2)"
Bland County,359 sq mi(930 km2)
Botetourt County,"543 sq mi(1,406 km2)"
Brunswick County,"566 sq mi(1,466 km2)"
Buchanan County,"504 sq mi(1,305 km2)"
Buckingham County,"581 sq mi(1,505 km2)"
Campbell County,"504 sq mi(1,305 km2)"
Caroline County,"533 sq mi(1,380 km2)"
Carroll County,"476 sq mi(1,233 km2)"
Charles City County,182 sq mi(471 km2)
Charlotte County,"475 sq mi(1,230 km2)"
Chesterfield County,"426 sq mi(1,103 km2)"
Clarke County,177 sq mi(458 km2)
Craig County,330 sq mi(855 km2)
Culpeper County,381 sq mi(987 km2)
Cumberland County,298 sq mi(772 km2)
Dickenson County,333 sq mi(862 km2)
Dinwiddie County,"504 sq mi(1,305 km2)"
Essex County,258 sq mi(668 km2)
Fairfax County,"396 sq mi(1,026 km2)"
Fauquier County,"650 sq mi(1,683 km2)"
Floyd County,382 sq mi(989 km2)
Fluvanna County,287 sq mi(743 km2)
Franklin County,"692 sq mi(1,792 km2)"
Frederick County,"415 sq mi(1,075 km2)"
Giles County,358 sq mi(927 km2)
Gloucester County,217 sq mi(562 km2)
Goochland County,284 sq mi(736 km2)
Grayson County,"443 sq mi(1,147 km2)"
Greene County,157 sq mi(407 km2)
Greensville County,296 sq mi(767 km2)
Halifax County,"814 sq mi(2,108 km2)"
Hanover County,"473 sq mi(1,225 km2)"
Henrico County,238 sq mi(616 km2)
Henry County,382 sq mi(989 km2)
Highland County,"416 sq mi(1,077 km2)"
Isle of Wight County,316 sq mi(818 km2)
James City County,143 sq mi(370 km2)
King and Queen County,316 sq mi(818 km2)
King George County,180 sq mi(466 km2)
King William County,275 sq mi(712 km2)
Lancaster County,133 sq mi(344 km2)
Lee County,"437 sq mi(1,132 km2)"
Loudoun County,"520 sq mi(1,347 km2)"
Louisa County,"498 sq mi(1,290 km2)"
Lunenburg County,"432 sq mi(1,119 km2)"
Madison County,322 sq mi(834 km2)
Mathews County,86 sq mi(223 km2)
Mecklenburg County,"624 sq mi(1,616 km2)"
Middlesex County,130 sq mi(337 km2)
Montgomery County,"388 sq mi(1,005 km2)"
Nelson County,"472 sq mi(1,222 km2)"
New Kent County,210 sq mi(544 km2)
Northampton County,207 sq mi(536 km2)
Northumberland County,192 sq mi(497 km2)
Nottoway County,315 sq mi(816 km2)
Orange County,342 sq mi(886 km2)
Page County,311 sq mi(805 km2)
Patrick County,"483 sq mi(1,251 km2)"
Pittsylvania County,"978 sq mi(2,533 km2)"
Powhatan County,261 sq mi(676 km2)
Prince Edward County,353 sq mi(914 km2)
Prince George County,266 sq mi(689 km2)
Prince William County,338 sq mi(875 km2)
Pulaski County,321 sq mi(831 km2)
Rappahannock County,267 sq mi(692 km2)
Richmond County,192 sq mi(497 km2)
Roanoke County,251 sq mi(650 km2)
Rockbridge County,"600 sq mi(1,554 km2)"
Rockingham County,"851 sq mi(2,204 km2)"
Russell County,"475 sq mi(1,230 km2)"
Scott County,"537 sq mi(1,391 km2)"
Shenandoah County,"512 sq mi(1,326 km2)"
Smyth County,"452 sq mi(1,171 km2)"
Southampton County,"600 sq mi(1,554 km2)"
Spotsylvania County,"401 sq mi(1,039 km2)"
Stafford County,270 sq mi(699 km2)
Surry County,279 sq mi(723 km2)
Sussex County,"491 sq mi(1,272 km2)"
Tazewell County,"520 sq mi(1,347 km2)"
Warren County,214 sq mi(554 km2)
Washington County,"564 sq mi(1,461 km2)"
Westmoreland County,229 sq mi(593 km2)
Wise County,"403 sq mi(1,044 km2)"
Wythe County,"463 sq mi(1,199 km2)"
York County,106 sq mi(275 km2)
Alexandria,15 sq mi(39 km2)
Bristol,12 sq mi(31 km2)
Buena Vista,7 sq mi(18 km2)
Charlottesville,10 sq mi(26 km2)
Chesapeake,341 sq mi(883 km2)
Colonial Heights,8 sq mi(21 km2)
Covington,4 sq mi(10 km2)
Danville,43 sq mi(111 km2)
Emporia,7 sq mi(18 km2)
Fairfax,6 sq mi(16 km2)
Falls Church,2.1 sq mi(5 km2)
Franklin,8 sq mi(21 km2)
Fredericksburg,10 sq mi(26 km2)
Galax,8 sq mi(21 km2)
Hampton,52 sq mi(135 km2)
Harrisonburg,18 sq mi(47 km2)
Hopewell,10 sq mi(26 km2)
Lexington,2.5 sq mi(6 km2)
Lynchburg,49 sq mi(127 km2)
Manassas,10 sq mi(26 km2)
Manassas Park,2.5 sq mi(6 km2)
Martinsville,11 sq mi(28 km2)
Newport News,68 sq mi(176 km2)
Norfolk,54 sq mi(140 km2)
Norton,7 sq mi(18 km2)
Petersburg,23 sq mi(60 km2)
Poquoson,16 sq mi(41 km2)
Portsmouth,33 sq mi(85 km2)
Radford,10 sq mi(26 km2)
Richmond,60 sq mi(155 km2)
Roanoke,43 sq mi(111 km2)
Salem,15 sq mi(39 km2)
Staunton,20 sq mi(52 km2)
Suffolk,"400 sq mi(1,036 km2)"
Virginia Beach,248 sq mi(642 km2)
Waynesboro,14 sq mi(36 km2)
Williamsburg,9 sq mi(23 km2)
Winchester,9 sq mi(23 km2)
